marka,model,km,hasar_durumu,model_yili,fiyat
Toyota,Corolla,119347,Ağır Hasarlı,2016,438
Ford,Fiesta,48197,Hasarsız,2021,1719
Fiat,Linea,170839,Ağır Hasarlı,2019,400
Renault,Symbol,45095,Hasarsız,2022,1648
Fiat,Egea,74239,Lokal Boyalı,2021,1452
Toyota,Corolla,121679,Hasarsız,2017,768
Fiat,Linea,103935,Hasarsız,2020,953
Toyota,Yaris,162292,Hasarsız,2019,895
BMW,320i,107680,Ağır Hasarlı,2015,1151
Fiat,Egea,95786,Hasarsız,2018,927
Mercedes,A200,210279,Ağır Hasarlı,2017,1084
BMW,520i,212057,Lokal Boyalı,2017,1667
Fiat,Egea,113379,Hasarsız,2020,1204
Mercedes,A200,193158,Lokal Boyalı,2017,1761
Toyota,Yaris,86731,Hasarsız,2022,1770
Toyota,Corolla,45336,Lokal Boyalı,2023,1958
Mercedes,C180,133899,Hasarsız,2020,2582
BMW,520i,106796,Ağır Hasarlı,2020,1548
Toyota,Yaris,165397,Ağır Hasarlı,2019,482
BMW,520i,59696,Değişenli,2022,2820
Renault,Symbol,242320,Hasarsız,2016,400
Fiat,Egea,14955,Lokal Boyalı,2024,2131
Fiat,Egea,51126,Değişenli,2022,1610
Renault,Symbol,147552,Değişenli,2020,617
Fiat,Egea,58443,Hasarsız,2022,1667
Renault,Clio,266703,Lokal Boyalı,2016,400
Fiat,Egea,75798,Lokal Boyalı,2021,1353
Fiat,Egea,76855,Lokal Boyalı,2021,1381
Fiat,Egea,155080,Ağır Hasarlı,2019,435
Renault,Symbol,76749,Hasarsız,2021,1371
Toyota,Corolla,71112,Lokal Boyalı,2021,1645
Fiat,Linea,96456,Lokal Boyalı,2020,938
Renault,Megane,243317,Hasarsız,2016,400
Fiat,Linea,46154,Değişenli,2023,1454
Renault,Clio,285585,Değişenli,2015,400
Fiat,Egea,71392,Hasarsız,2019,1181
Ford,Fiesta,102891,Hasarsız,2021,1506
Fiat,Egea,31743,Lokal Boyalı,2024,2169
Renault,Symbol,101669,Hasarsız,2017,555
Renault,Clio,86352,Hasarsız,2022,1319
Fiat,Egea,147378,Değişenli,2017,454
Fiat,Egea,59654,Lokal Boyalı,2022,1567
Fiat,Egea,66906,Hasarsız,2022,1714
